Age,10th & Page_T,Barracks / Rugby_T,Barracks Road_T,Belmont_T,Fifeville_T,Fry's Spring_T,Greenbrier_T,Jefferson Park Avenue_T,Johnson Village_T,Lewis Mountain_T,Locust Grove_T,Martha Jefferson_T,North Downtown_T,Ridge Street_T,Rose Hill_T,Starr Hill_T,The Meadows_T,Venable_T,Woolen Mills_T,10th & Page_Tct,Barracks / Rugby_Tct,Barracks Road_Tct,Belmont_Tct,Fifeville_Tct,Fry's Spring_Tct,Greenbrier_Tct,Jefferson Park Avenue_Tct,Johnson Village_Tct,Lewis Mountain_Tct,Locust Grove_Tct,Martha Jefferson_Tct,North Downtown_Tct,Ridge Street_Tct,Rose Hill_Tct,Starr Hill_Tct,The Meadows_Tct,Venable_Tct,Woolen Mills_Tct,Year
30 to 34,12.64786169244768,6.613131790269249,10.462776659959758,10.629734848484848,14.008097165991902,15.98116169544741,2.8964862298195633,4.876404494382022,5.704189803129733,0.9259259259259259,9.809390980939098,14.029618082618862,10.510805500982318,10.824891461649782,11.171366594360087,5.152224824355972,5.242905242905243,1.8448438978240302,8.484848484848484,139,140,52,449,519,509,61,217,113,8,211,180,214,374,103,44,109,117,98,2014
35 to 39,6.6424021838034575,7.652338214454416,1.8108651911468814,7.433712121212121,6.963562753036437,3.673469387755102,5.982905982905983,2.247191011235955,13.528520949015649,3.240740740740741,11.297071129707113,13.87373343725643,9.282907662082515,6.251808972503618,3.579175704989154,0.0,9.235209235209235,2.475559760327972,4.588744588744588,73,162,9,314,258,117,126,100,268,28,243,178,189,216,33,0,192,157,53,2014
40 to 44,6.46041856232939,4.629192253188474,3.420523138832998,8.285984848484848,3.9406207827260458,3.8618524332810047,9.544159544159545,0.15730337078651685,4.644119131751641,0.0,7.577870757787076,6.625097427903351,10.412573673870334,5.180897250361794,7.809110629067245,6.4402810304449645,7.84030784030784,2.491327656890571,0.0,71,98,17,350,146,123,201,7,92,0,163,85,212,179,72,55,163,158,0,2014
45 to 49,4.276615104640582,8.455361360415683,2.2132796780684103,7.007575757575758,8.556005398110662,3.642072213500785,7.739791073124406,1.550561797752809,5.805148914689551,0.0,5.160390516039052,4.676539360872954,3.143418467583497,8.104196816208393,4.989154013015185,9.250585480093676,3.2227032227032226,1.750236518448439,6.0606060606060606,47,179,11,296,317,116,163,69,115,0,111,60,64,280,46,79,67,111,70,2014
50 to 54,7.825295723384896,10.297590930562116,1.8108651911468814,7.670454545454546,7.314439946018894,4.772370486656201,5.080721747388414,1.3707865168539326,0.7067137809187279,2.4305555555555554,7.112970711297071,4.9883086515978174,5.50098231827112,6.859623733719247,9.436008676789587,2.2248243559718968,5.002405002405002,1.6240933459476505,5.974025974025974,86,218,9,324,271,152,107,61,14,21,153,64,112,237,87,19,104,103,69,2014
55 to 59,14.285714285714286,7.368918280585735,0.0,7.599431818181818,3.184885290148448,10.86342229199372,7.0750237416904085,1.6179775280898876,1.0095911155981827,3.009259259259259,4.834960483496048,3.3515198752922837,8.497053045186641,5.52821997105644,6.290672451193059,2.459016393442623,9.090909090909092,1.8763796909492274,13.16017316017316,157,156,0,321,118,346,149,72,20,26,104,43,173,191,58,21,189,119,152,2014
60 to 64,3.548680618744313,5.999055266887105,3.8229376257545273,3.243371212121212,3.6167341430499325,5.368916797488226,9.686609686609687,0.1797752808988764,5.502271580010096,5.787037037037037,8.414690841469085,5.611847233047545,5.648330058939096,5.267727930535456,1.9522776572668112,5.620608899297424,4.6657046657046655,1.5137180700094608,6.753246753246753,39,127,19,137,134,171,204,8,109,50,181,72,115,182,18,48,97,96,78,2014
65 to 69,3.4576888080072794,3.920642418516769,0.0,3.456439393939394,3.1578947368421053,1.3814756671899528,7.169990503323836,0.20224719101123595,4.846037354871277,1.7361111111111112,2.8358902835890283,5.14419329696025,3.143418467583497,2.3154848046309695,0.0,6.557377049180328,3.6075036075036073,2.2863450015767897,0.8658008658008658,38,83,0,146,117,44,151,9,96,15,61,66,64,80,0,56,75,145,10,2014
70 to 74,1.8198362147406733,3.070382616910723,0.0,3.5511363636363638,1.835357624831309,5.054945054945055,5.698005698005698,1.0337078651685394,0.9086320040383644,1.1574074074074074,1.5806601580660158,2.1044427123928293,3.6345776031434185,1.3892908827785817,0.0,4.918032786885246,1.7316017316017316,0.5203405865657521,4.329004329004329,20,65,0,150,68,161,120,46,18,10,34,27,74,48,0,42,36,33,50,2014
75 to 79,0.0,3.6844591402928675,0.0,2.34375,0.48582995951417,1.098901098901099,3.988603988603989,0.0,1.5648662291771833,0.0,2.0455602045560206,1.9485580670303975,2.2593320235756384,1.6497829232995658,1.8438177874186552,3.161592505854801,2.6455026455026456,0.48880479344055505,1.1255411255411256,0,78,0,99,18,35,84,0,31,0,44,25,46,57,17,27,55,31,13,2014
80 to 84,4.276615104640582,0.6613131790269249,0.0,1.6098484848484849,0.8097165991902834,2.3547880690737832,1.2820512820512822,0.5842696629213483,0.6057546693589096,0.0,4.6490004649000465,4.1309431021044425,1.768172888015717,0.2894356005788712,0.0,6.791569086651054,1.5873015873015872,0.6149479659413434,1.8181818181818181,47,14,0,68,30,75,27,26,12,0,100,53,36,10,0,58,33,39,21,2014
