Industry,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year,Desc
Entertainment,12.184249628528974,4.818181818181818,19.248826291079812,16.299392097264437,12.153846153846153,11.328320802005013,4.562737642585551,18.606024808033077,13.947128532360985,12.433862433862434,8.869701726844584,3.5892323030907276,20.33222591362126,15.038484310242747,28.29827915869981,7.385229540918163,30.687830687830687,15.955826351865955,10.44973544973545,82,53,41,429,237,226,48,315,153,47,113,36,306,254,148,37,290,419,79,2015,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,3.1203566121842496,4.454545454545454,0.0,4.673252279635259,3.1794871794871793,6.516290726817043,1.9961977186311788,3.6621382161842884,5.742935278030994,9.523809523809524,4.081632653061225,14.35692921236291,2.7906976744186047,10.53878034339846,4.015296367112811,0.0,8.148148148148149,6.130997715156131,3.1746031746031744,21,49,0,123,62,130,21,62,63,36,52,144,42,178,21,0,77,161,24,2015,Other Services
Public Administration,2.674591381872214,7.7272727272727275,7.511737089201878,4.103343465045593,2.051282051282051,4.4110275689223055,4.182509505703422,0.5906674542232723,0.0,3.439153439153439,2.6687598116169546,5.982053838484546,8.039867109634551,1.4209591474245116,2.676864244741874,2.1956087824351296,0.0,3.274942878903275,3.0423280423280423,18,85,16,108,40,88,44,10,0,13,34,60,121,24,14,11,0,86,23,2015,Public Administration
Agriculture,0.0,0.0,0.0,2.65900107797341,0.0,0.618647812638091,0.0,1.1844331641285957,0.0,0.0,1.4234875444839858,0.0,2.515295717199184,0.0,0.0,0.0,0.0,0.3564356435643564,3.4106412005457027,0,0,0,74,0,14,0,21,0,0,20,0,37,0,0,0,0,9,25,2016,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,3.6823935558112773,4.194630872483222,0.0,3.772906934962271,5.610021786492375,1.0605391073795847,1.7773620205799814,1.5792442188381275,3.0338389731621938,2.1621621621621623,9.608540925266905,1.6881827209533267,1.087695445275323,7.5955997904662125,3.4965034965034967,7.186858316221766,6.9109947643979055,2.217821782178218,3.5470668485675305,32,50,0,105,103,24,19,28,26,8,135,17,16,145,15,35,66,56,26,2016,Construction
Manufacturing,1.4959723820483315,5.704697986577181,7.352941176470588,5.3539346029464605,0.9803921568627451,4.949182501104728,3.9289055191768005,3.3276931754089114,5.717619603267211,0.0,1.708185053380783,4.568023833167826,2.2433718558803535,3.143006809848088,3.9627039627039626,1.8480492813141685,0.7329842931937173,4.8316831683168315,0.0,13,68,15,149,18,112,42,59,49,0,24,46,33,60,17,9,7,122,0,2016,Manufacturing
Wholesale,0.0,0.9228187919463087,0.0,0.8623787279913762,0.32679738562091504,2.5187803800265134,3.3676333021515434,2.2560631697687534,0.0,0.0,3.131672597864769,0.0,0.3399048266485384,0.0,1.8648018648018647,0.0,0.0,0.0,6.139154160982264,0,11,0,24,6,57,36,40,0,0,44,0,5,0,8,0,0,0,45,2016,Wholesale Trade
Retail,18.872266973532795,6.9630872483221475,0.0,7.941070786920589,15.032679738562091,9.102960671674769,10.664172123479888,7.1630005640157925,19.1365227537923,2.4324324324324325,6.405693950177936,11.221449851042701,5.030591434398368,14.353064431639602,12.587412587412587,8.213552361396303,12.041884816753926,5.742574257425742,8.867667121418826,164,83,0,221,276,206,114,127,164,9,90,113,74,274,54,40,115,145,65,2016,Retail Trade
Transportation,0.0,0.9228187919463087,0.0,1.329500538986705,2.6688453159041394,2.7839151568714096,1.028999064546305,1.410039481105471,1.4002333722287048,0.0,2.3487544483985765,1.5888778550148956,1.7675050985723997,2.671555788370875,1.8648018648018647,0.0,1.361256544502618,2.0594059405940595,2.728512960436562,0,11,0,37,49,63,11,25,12,0,33,16,26,51,8,0,13,52,20,2016,"Transportation,<br>Warehousing, Utilities"
Information,0.0,4.949664429530201,0.0,2.7308659719726913,1.5250544662309369,1.9001325673884224,0.0,1.6356457980823462,0.0,1.3513513513513513,1.5658362989323844,0.5958291956305859,2.9231815091774305,4.452592980618125,0.0,2.0533880903490758,2.722513089005236,4.0,5.184174624829468,0,59,0,76,28,43,0,29,0,5,22,6,43,85,0,10,26,101,38,2016,Information
Finance & Insurance,5.523590333716916,6.124161073825503,0.0,3.0183255479698166,1.1437908496732025,3.2699955810870525,9.448082319925163,1.071630005640158,1.633605600933489,5.675675675675675,1.9217081850533808,7.0506454816285995,3.602991162474507,3.6144578313253013,0.0,2.0533880903490758,1.675392670157068,4.435643564356436,2.0463847203274215,48,73,0,84,21,74,101,19,14,21,27,71,53,69,0,10,16,112,15,2016,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,5.408515535097814,26.426174496644297,24.019607843137255,16.169601149838304,8.932461873638344,11.533362792752984,14.967259120673527,4.794134235758602,8.98483080513419,9.45945945945946,16.654804270462634,16.385302879841113,15.159755268524814,14.038763750654793,7.925407925407925,13.552361396303901,19.476439790575917,8.0,11.323328785811732,47,315,49,450,164,261,160,85,77,35,234,165,223,268,34,66,186,202,83,2016,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,41.31185270425777,28.7751677852349,46.568627450980394,32.51886453467481,43.028322440087145,41.3610251878038,43.96632366697848,50.42301184433164,36.639439906651106,55.67567567567568,35.01779359430605,35.55114200595829,33.51461590754589,23.467784180199057,45.22144522144522,52.56673511293634,14.136125654450261,41.82178217821782,37.653478854024556,359,343,95,905,790,936,470,894,314,206,492,358,493,448,194,256,135,1056,276,2016,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,14.844649021864212,4.278523489932886,15.196078431372548,17.67876392382321,12.636165577342048,9.63323022536456,3.2740879326473338,20.86858432036097,13.53558926487748,14.054054054054054,13.09608540925267,3.1777557100297913,21.821889870836166,16.44840230487166,11.888111888111888,7.8028747433264884,29.94764397905759,15.009900990099009,9.004092769440655,129,51,31,492,232,218,35,370,116,52,184,32,321,314,51,38,286,379,66,2016,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,3.567318757192175,4.781879194630872,0.0,2.2637441609773625,4.5206971677559915,6.274856385329209,4.677268475210477,3.6661026508742243,9.918319719953326,5.675675675675675,4.128113879003559,12.512413108242304,3.1271244051665534,8.90518596123625,8.158508158508159,2.6694045174537986,10.99476439790576,7.881188118811881,5.184174624829468,31,57,0,63,83,142,50,65,85,21,58,126,46,170,35,13,105,199,38,2016,Other Services
Public Administration,5.293440736478711,5.956375838926174,6.862745098039215,3.7010420409629896,3.5947712418300655,4.993371630578878,2.899906454630496,0.6204173716864072,0.0,3.5135135135135136,2.9893238434163703,5.660377358490566,6.866077498300476,1.3095861707700367,3.0303030303030303,2.0533880903490758,0.0,3.6435643564356437,4.911323328785811,46,71,14,103,66,113,31,11,0,13,42,57,101,25,13,10,0,92,36,2016,Public Administration
Agriculture,0.0,0.0,0.0,2.4255024255024256,0.0,0.6555944055944056,0.0,0.8922880815806246,0.0,0.0,1.27750177430802,0.0,2.5128865979381443,0.0,0.0,0.0,0.0,0.3602882305844676,2.7417027417027415,0,0,0,70,0,15,0,14,0,0,18,0,39,0,0,0,0,9,19,2017,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,0.32397408207343414,5.688888888888889,0.0,4.365904365904366,4.756575265808618,2.534965034965035,2.198768689533861,0.0,3.942953020134228,2.4615384615384617,6.31653655074521,1.4634146341463414,2.0618556701030926,9.909456740442655,0.0,6.744186046511628,4.906771344455349,1.2409927942353882,2.5974025974025974,3,64,0,126,85,58,25,0,47,8,89,15,32,197,0,29,50,31,18,2017,Construction
Manufacturing,1.511879049676026,7.377777777777778,2.857142857142857,5.578655578655579,0.5595970900951315,1.9230769230769231,4.925241864555849,2.676864244741874,10.234899328859061,0.0,0.7097232079489,5.7560975609756095,2.770618556701031,0.704225352112676,2.8368794326241136,0.0,3.2384690873405297,4.123298638911129,1.5873015873015872,14,83,5,161,10,44,56,42,122,0,10,59,43,14,12,0,33,103,11,2017,Manufacturing
Wholesale,0.0,1.1555555555555554,0.0,0.8662508662508662,0.39171796306659207,2.972027972027972,2.2867194371152153,2.995538559592097,0.0,0.0,1.20652945351313,1.4634146341463414,0.6443298969072165,0.0,2.3640661938534278,0.0,0.0,0.0,4.761904761904762,0,13,0,25,7,68,26,47,0,0,17,15,10,0,10,0,0,0,33,2017,Wholesale Trade
Retail,24.406047516198704,5.4222222222222225,4.571428571428571,7.969507969507969,17.06771124790151,9.615384615384615,11.609498680738787,6.8833652007648185,4.949664429530201,3.076923076923077,6.1745919091554295,11.804878048780488,6.443298969072165,18.712273641851105,20.094562647754138,3.488372093023256,10.500490677134446,9.247397918334668,5.916305916305916,226,61,8,230,305,220,132,108,59,10,87,121,100,372,85,15,107,231,41,2017,Retail Trade
Transportation,0.0,0.8,0.0,1.6978516978516978,4.420817011751539,1.5734265734265733,0.8795074758135444,1.0834926704907584,1.2583892617449663,0.0,2.55500354861604,1.6585365853658536,0.9020618556701031,0.9054325955734407,1.6548463356973995,0.0,1.5701668302257115,3.4827862289831866,2.7417027417027415,0,9,0,49,79,36,10,17,15,0,36,17,14,18,7,0,16,87,19,2017,"Transportation,<br>Warehousing, Utilities"
