Race,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year
Indigenous - Hawaiian & Pacific Islander,0.0,0.0,0.0,0.0,1.4600477833820016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0204081632653061,0.0,0.0,0.0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2016
Some other race,0.13114754098360656,0.6066262249183387,0.0,0.0,0.8229360233607645,0.7228915662650602,0.28832292167227297,0.4122648801855192,0.0,0.0,0.0,0.6313131313131313,0.0,1.0922021844043688,1.0540184453227932,0.0,0.0,0.3715670436187399,0.0,2,13,0,0,31,24,6,16,0,0,0,10,0,43,8,0,0,23,0,2016
Multiracial,5.901639344262295,3.2664489034064395,2.754491017964072,1.8198362147406733,1.6193257233873108,3.825301204819277,2.4026910139356077,4.534913682040711,5.178173719376392,1.909307875894988,2.732746641963872,1.5151515151515151,2.01310861423221,4.953009906019812,3.952569169960474,11.410018552875696,2.4721279689772175,2.374798061389338,0.8571428571428571,90,70,23,80,61,127,50,176,93,16,59,24,43,195,30,123,51,147,9,2016
White,30.451127819548873,90.12722646310432,73.86363636363636,83.77183285430024,37.25135623869801,75.63811684628475,87.45387453874538,63.74652865438021,60.39366298607777,82.89473684210526,87.61020881670534,83.72093023255815,90.98654708520179,50.99252384635215,29.67818831942789,72.38734419942473,69.47643979057591,79.27714646464646,73.01275760549558,486,1771,650,3789,1442,2667,1896,2525,1258,756,1888,1332,2029,1978,249,755,1327,5023,744,2017
Black,54.76190476190476,4.478371501272265,3.409090909090909,14.702630997125802,56.67786101782485,7.7992058990357345,4.750922509225092,9.820752335268871,27.31637061929909,1.9736842105263157,7.099767981438515,7.416719044626022,3.2286995515695067,41.40242330497551,54.94636471990465,11.409395973154362,17.225130890052355,7.275883838383838,25.318940137389596,874,88,30,665,2194,275,103,389,569,18,153,118,72,1606,461,119,329,461,258,2017
Indigenous - Continental U.S.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1009845998485231,0.0,0.0,0.0,0.0,0.0,2.0881670533642693,0.0,0.0,0.0,0.8838383838383839,0.0,0,0,0,0,0,0,0,4,0,0,0,0,0,81,0,0,0,56,0,2017
Asian,12.280701754385966,2.900763358778626,20.34090909090909,0.5306212690692018,3.8233014724877292,9.642654566080544,5.350553505535055,21.282504418076243,6.289006240998559,14.144736842105264,1.2064965197215778,5.216844751728472,3.273542600896861,0.9022944057746842,9.058402860548272,4.88974113135187,10.785340314136125,10.243055555555555,0.7850834151128557,196,57,179,24,148,340,116,843,131,129,26,83,73,35,76,51,206,649,8,2017
Indigenous - Hawaiian & Pacific Islander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502828409805154,0.0,0.0,0.0,0.862895493767977,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,2017
Some other race,0.0,0.5597964376590331,0.0,0.0,0.9299922500645827,0.6806579693703914,0.2767527675276753,0.3029537995455693,0.0,0.0,0.0,0.502828409805154,0.8968609865470852,0.5155968032998195,1.1918951132300357,0.0,0.0,0.3472222222222222,0.0,0,11,0,0,36,24,6,12,0,0,0,8,20,20,10,0,0,22,0,2017
Multiracial,2.506265664160401,1.9338422391857506,2.3863636363636362,0.9949148795047534,1.3174890209248256,6.239364719228588,2.1678966789667897,4.746276192880586,6.00096015362458,0.9868421052631579,4.083526682134571,2.6398491514770583,1.6143497757847534,4.098994586233565,5.125148986889154,10.450623202301054,2.513089005235602,1.9728535353535352,0.8832188420019627,40,38,21,45,51,220,47,188,125,9,88,42,36,159,43,109,48,125,9,2017
