Industry,Fry's Spring,Belmont,Venable,Greenbrier,Jefferson Park Ave,Locust Grove,Ridge Street,Barracks / Rugby,Fifeville,North Downtown,Starr Hill,10th & Page,Barracks Road,Lewis Mountain,The Meadows,Johnson Village,Woolen Mills,Rose Hill,Martha Jefferson,Fry's Springct,Belmontct,Venablect,Greenbrierct,Jefferson Park Avect,Locust Grovect,Ridge Streetct,Barracks / Rugbyct,Fifevillect,North Downtownct,Starr Hillct,10th & Pagect,Barracks Roadct,Lewis Mountainct,The Meadowsct,Johnson Villagect,Woolen Millsct,Rose Hillct,Martha Jeffersonct,Year,Desc
Information,1.851851852,2.778730703,2.154471545,1.714285714,0,1.017811705,1.318681319,4.94966443,1.525054466,3.453136011,4.737516005,6.177606178,0,1.351351351,2.722513089,2.05338809,1.26984127,4.753199269,0,59,81,53,36,0,12,18,59,28,49,37,64,0,5,26,10,8,26,0,2016,Information
Finance & Insurance,6.716886378,1.715265866,3.861788618,1.619047619,1.545972335,0.678541137,5.054945055,6.124161074,1.14379085,6.272022551,2.04865557,5.405405405,0,5.675675676,1.67539267,2.05338809,2.063492063,0,9.756097561,214,50,95,34,19,8,69,73,21,89,16,56,0,21,16,10,13,0,24,2016,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,13.1826742,11.45797599,14.71544715,16.61904762,4.231082181,5.767599661,10.62271062,26.4261745,8.932461874,10.00704722,14.59667093,10.42471042,24.01960784,9.459459459,19.47643979,13.5523614,19.36507937,6.398537477,15.44715447,420,334,362,349,52,68,145,315,164,142,114,108,49,35,186,66,122,35,38,2016,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,36.6603892,39.45111492,39.43089431,38.42857143,42.63628967,50.8057676,36.996337,28.77516779,43.02832244,30.44397463,32.3943662,26.06177606,46.56862745,55.67567568,14.13612565,52.56673511,31.9047619,43.32723949,32.11382114,1168,1150,970,807,524,599,505,343,790,432,253,270,95,206,135,256,201,237,79,2016,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,9.070935342,14.44253859,8.902439024,15.52380952,12.28641172,18.91433418,9.523809524,4.27852349,12.63616558,21.00070472,23.04737516,19.30501931,15.19607843,14.05405405,29.94764398,7.802874743,20.79365079,21.38939671,8.943089431,289,421,219,326,151,223,130,51,232,298,180,200,31,52,286,38,131,117,22,2016,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,6.371625863,5.248713551,7.682926829,2,7.485760781,4.834605598,9.010989011,4.781879195,4.520697168,6.694855532,4.865556978,4.536679537,0,5.675675676,10.9947644,2.669404517,0,9.689213894,6.504065041,203,153,189,42,92,57,123,57,83,95,38,47,0,21,105,13,0,53,16,2016,Other Services
Public Administration,4.143126177,4.253859348,2.276422764,1.047619048,4.637917006,2.544529262,3.663003663,5.956375839,3.594771242,9.654686399,1.408450704,1.447876448,6.862745098,3.513513514,0,2.05338809,3.80952381,1.096892139,2.43902439,132,124,56,22,57,30,50,71,66,137,11,15,14,13,0,10,24,6,6,2016,Public Administration
Agriculture,2.422983731,0.654307525,0,0.784151878,1.6563147,0,0,0,1.967709384,0,0,0,0,0,0,0,0,0,2.052785924,70,18,0,19,24,0,0,0,39,0,0,0,0,0,0,0,0,0,14,2017,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,2.180685358,5.379861868,5.209557383,4.374742055,0,5.223880597,1.746724891,3.241182078,3.077699294,4.367053621,2.341137124,11.02661597,0,3.94295302,4.406130268,0,0,1.424501425,0,63,148,133,106,0,28,20,34,61,79,14,116,0,47,23,0,0,5,0,2017,Construction
Manufacturing,4.70751125,0.36350418,4.622013318,1.815930664,5.175983437,0,4.454148472,2.955195424,2.169525732,4.698728579,2.173913043,1.330798479,0,10.23489933,2.298850575,5.446927374,2.857142857,6.837606838,0,136,10,118,44,75,0,51,31,43,85,13,14,0,122,12,39,5,24,0,2017,Manufacturing
