id,airbnb_property_id,homeaway_property_id,m_homeaway_property_id,title,room_type,property_type,adr,occ,revenue,reviews,rating,bedrooms,accommodates,bathrooms,latitude,longitude,days_available,img_cover,regions
437610400,49318307,,,UVA Grounds Experience - Entire House w/ Parking,Entire home/apt,Home,1595.0,permission_denied,permission_denied,2,10.0,3,6,2.5,38.03955,-78.51285,5,https://a0.muscache.com/im/pictures/36b1c0f0-4dae-4375-ab81-19a04ca8fc04.jpg?aki_policy=x_large,[21399]
437709323,48090536,,,"Airy loft studio in the woods, 10min from downtown",Entire home/apt,Guest suite,87.0283,permission_denied,permission_denied,19,10.0,0,4,1.0,38.08006,-78.49932,193,https://a0.muscache.com/im/pictures/55926ac3-fcbd-4069-96fb-e0c39037b1f3.jpg?aki_policy=x_large,[21394]
437771686,49400258,,,Charlottesville Dreamin'' | Downtown | Parking,Entire home/apt,Home,325.82336,permission_denied,permission_denied,95,9.9,2,8,2.0,38.02946,-78.48,365,https://a0.muscache.com/im/pictures/miso/Hosting-49400258/original/f95a4993-84cf-43f9-a7f8-5b71583e87ed.jpeg?aki_policy=x_large,[21398]
437827160,49062964,,,Renovated Bright and Modern Downtown Farmhouse,Entire home/apt,Home,1253.6364,permission_denied,permission_denied,3,10.0,5,10,2.0,38.02375,-78.47878,13,https://a0.muscache.com/im/pictures/ef975115-9cd2-4c00-8cf3-8c00ea04524d.jpg?aki_policy=x_large,[21398]
438656135,49386430,,,Close to UVA/Downtown - for Large Groups,Entire home/apt,Home,598.9418,permission_denied,permission_denied,52,9.9,5,12,3.5,38.05814,-78.48892,312,https://a0.muscache.com/im/pictures/miso/Hosting-49386430/original/ab8108d7-d2c0-4b62-95ef-8be264252fee.jpeg?aki_policy=x_large,[21394]
439828359,49245703,,,Private Room in fully furnished house near UVA,Private room,Home,60.0,permission_denied,permission_denied,2,10.0,1,1,1.0,38.02085,-78.5199,16,https://a0.muscache.com/im/pictures/5e5e4a51-b8bb-49b2-b568-e2762eae8266.jpg?aki_policy=x_large,[21399]
439993903,49436609,,,Mostly weekend rental (some exceptions for longer),Entire home/apt,Home,2393.8525,permission_denied,permission_denied,1,10.0,4,8,4.5,38.02195,-78.41401,262,https://a0.muscache.com/im/pictures/fe06dde6-b637-47a0-b1b5-f12ea553bb8c.jpg?aki_policy=x_large,[21403]
440862648,49561308,,,Studio suite/UVA area/Walk to Scott Stadium,Entire home/apt,Guesthouse,261.42615,permission_denied,permission_denied,15,10.0,1,2,1.0,38.02531,-78.51284,336,https://a0.muscache.com/im/pictures/09d058c4-e12c-4d81-bc18-5ef9510b06fa.jpg?aki_policy=x_large,[21399]
441919601,49564176,,,Stunning 2-Story Downtown Carriage House,Entire home/apt,Guesthouse,252.12994,permission_denied,permission_denied,67,10.0,1,4,1.0,38.0287,-78.48808,357,https://a0.muscache.com/im/pictures/3281f468-afdb-4b19-8f8f-ba4c8f4f5ccc.jpg?aki_policy=x_large,[21399]
443776843,49562253,,,NEW Modern Condo on the Downtown Mall,Entire home/apt,Condo,458.29324,permission_denied,permission_denied,30,9.8,1,4,2.0,38.02999,-78.48432,365,https://a0.muscache.com/im/pictures/74139595-3e21-468c-ac30-4c6c6c835818.jpg?aki_policy=x_large,[21398]
444473321,49604375,,,Belmont Bungalow 1/2 Mile to Downtown!,Entire home/apt,Bungalow,294.38635,permission_denied,permission_denied,25,9.5,2,4,1.0,38.02016,-78.48215,237,https://a0.muscache.com/im/pictures/af253560-b32b-48af-aec1-475647695254.jpg?aki_policy=x_large,[21398]
445432533,49633215,,,*Walk to UVA* Historic urban farmhouse with deck,Entire home/apt,Home,535.0,permission_denied,permission_denied,5,9.6,4,8,2.5,38.02847,-78.49695,27,https://a0.muscache.com/im/pictures/01f834cd-4c5e-4fed-a9b1-e8c19e15c4c2.jpg?aki_policy=x_large,[21399]
445543625,49635936,,,Cozy Charlottesville bedroom close to UVA campus.,Private room,Home,217.77777,permission_denied,permission_denied,2,10.0,1,2,1.0,38.01461,-78.51007,235,https://a0.muscache.com/im/pictures/8016c73f-2f8a-41d8-95e2-0c3f3cfbba51.jpg?aki_policy=x_large,[21399]
445790543,49636996,,,Convenient Oasis,Entire home/apt,Home,166.4752,permission_denied,permission_denied,11,9.5,1,2,1.5,38.00037,-78.502,251,https://a0.muscache.com/im/pictures/ccb29ce8-6758-4a6f-a773-1368490f86ae.jpg?aki_policy=x_large,[21398]
445978176,49732283,,,⋆Best of Downtown & Belmont in Historic Home/ 2bd⋆,Entire home/apt,Guest suite,163.02954,permission_denied,permission_denied,135,9.9,2,5,1.0,38.02591,-78.47735,294,https://a0.muscache.com/im/pictures/4ec4d1a3-4fa2-43f7-8d3c-d7110b22c65a.jpg?aki_policy=x_large,[21398]
446721526,49774522,,,pink cottage @ locust grange,Entire home/apt,Cottage,193.13725,permission_denied,permission_denied,56,9.9,2,3,1.0,38.0431,-78.51829,356,https://a0.muscache.com/im/pictures/f940de0e-e99c-422f-8a9d-865efaa7b1e6.jpg?aki_policy=x_large,[21399]
447078876,49747869,,,DOWNTOWN MALL MODERN HOUSE,Entire home/apt,Home,686.66846,permission_denied,permission_denied,31,9.7,4,8,3.0,38.03704,-78.47721,326,https://a0.muscache.com/im/pictures/0066429d-716d-4ce5-b05d-6882fe88c520.jpg?aki_policy=x_large,[21398]
447897936,49715089,,,"Gorgeous Cabin on 100 acres, Wine/Breweries/Hiking",Entire home/apt,Cabin,1577.2257,permission_denied,permission_denied,25,9.8,5,12,4.5,37.98059,-78.56223,365,https://a0.muscache.com/im/pictures/f7824362-1ca0-4ad7-89fe-e72b9087f123.jpg?aki_policy=x_large,[21399]
448349849,477077,,,Cozy lovely soulful home in old Cville hood,Entire home/apt,Home,553.313,permission_denied,permission_denied,1,8.0,2,7,1.0,38.03215,-78.46726,336,https://a0.muscache.com/im/pictures/5641857/9fc2c1d8_original.jpg?aki_policy=x_large,[21398]
449366759,49922001,,2325538,"Fairytale Loft Suite | 1 bed, 1 bath Luxury Apartment in Downtown Belmont",Entire home/apt,Rental unit,188.38557,permission_denied,permission_denied,28,9.5,1,2,1.0,38.02449,-78.47529,361,https://a0.muscache.com/im/pictures/prohost-api/Hosting-49922001/original/e6991cf9-4f55-4133-a30c-aa7db66c52a9.jpeg?aki_policy=x_large,[21398]
449588083,49921758,,2325539,"Southern Luxury Suite | 1 bed, 1 bath Luxury Apartment in Downtown Belmont",Entire home/apt,Rental unit,134.25974,permission_denied,permission_denied,5,9.6,1,2,1.0,38.02363,-78.47595,94,https://a0.muscache.com/im/pictures/prohost-api/Hosting-49921758/original/3240a257-0b51-4c5f-b50e-d78fcbc8edfa.jpeg?aki_policy=x_large,[21398]
450803209,50006134,,2325537,Pharmacy Apartment| Lux 30 + Rental in Dtwn Belmont,Entire home/apt,Rental unit,165.52066,permission_denied,permission_denied,9,10.0,1,2,1.0,38.0238,-78.474,224,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50006134/original/574f993d-9ec4-453a-a188-30663261b98c.jpeg?aki_policy=x_large,[21398]
